LINEA;GRUPO;DETALLE;CODIGO;SOCOFAR;STOCK;COSTO;PNETO;PRECIO;VALORIZADO
 LOREAL VOGUE SAS;;BASE VOGUE RESIS. CANELA X 30ML;898303;0;1;2829;3950;4.700;2.829
 LOREAL VOGUE SAS;;LOREAL AGUA MICEL.200 ML;898292;0;1;3258;5042;6.000;3.258
 LOREAL VOGUE SAS;;VOGUE EF. GEL ESM.UÑAS EMPATÍA;898285;0;8;1639;2437;2.900;13.112
 LOREAL VOGUE SAS;;VOGUE EF. GEL TENACIDAD X 14ML;898314;0;3;1622;2395;2.850;4.866
 LOREAL VOGUE SAS;;VOGUE EF.GEL ATACAMA X 14ML;898315;0;8;1650;2437;2.900;13.200
 LOREAL VOGUE SAS;;VOGUE ESMAL FACTAS. ROSA X 10ML;898313;0;2;998;1471;1.750;1.996
 LOREAL VOGUE SAS;;VOGUE ESMAL. AUTENT. X 10ML;898307;0;7;897;1429;1.700;6.279
 LOREAL VOGUE SAS;;VOGUE ESMAL. FANT.FUERTE X 10ML;898305;0;1;794;1345;1.600;794
 LOREAL VOGUE SAS;;VOGUE ESMAL.FANTAS. SERENA X 10ML;898310;0;1;960;1471;1.750;960
 LOREAL VOGUE SAS;0183 COSMETICOS;VOGUE EF.GEL ESM.UÑAS VOGUERA;898220;289054;2;1650;2395;2.850;3.300
 LOREAL VOGUE SAS;0183 COSMETICOS;VOGUE ESM BRILLO EFECTO GEL;898190;276980;3;1970;2689;3.200;5.910
 LOREAL VOGUE SAS;0183 COSMETICOS;VOGUE ESM GEL SECRETO;898216;289059;2;1650;2395;2.850;3.300
 LOREAL VOGUE SAS;0183 COSMETICOS;VOGUE ESM. FANTASTIC ONIX 44;898120;274938;1;960;1471;1.750;960
 LOREAL VOGUE SAS;0183 COSMETICOS;VOGUE ESMAL BASE ENDURECEDORA;898086;272856;6;1988;3151;3.750;11.928
 LOREAL VOGUE SAS;0183 COSMETICOS;VOGUE ESMALT BASE FORTAL;898105;262738;10;1976;2689;3.200;19.760
 LOREAL VOGUE SAS;0183 COSMETICOS;VOGUE ESMALTE DECO BLANCO ARMIN 02;898015;275201;3;1210;1639;1.950;3.630
 LOREAL VOGUE SAS;0183 COSMETICOS;VOGUE GEL BRILLO DIAMANTE;898221;289055;7;2140;2857;3.400;14.980
 LOREAL VOGUE SAS;0183 COSMETICOS;VOGUE SOMBRA SUPER FANTAST. NEGRA;898186;274834;2;1269;1681;2.000;2.538
